mtAddress, lat, lng, group, wheelchair, mtDay, start, end, type, spinterest, zone, mtlocation
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Sunday", "3:00 PM", "4:30 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Monday", "4:00 PM", "5:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Saturday", "4:00 PM", "5:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Thursday", "4:00 PM", "5:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Wednesday", "4:00 PM", "5:00 PM" ,"OD", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Tuesday", "4:00 PM", "5:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Friday", "4:00 PM", "6:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Thursday", "5:30 PM", "6:30 PM" ,"BB", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Monday", "6:00 PM", "7:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Saturday", "6:00 PM", "7:00 PM" ,"OD", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Sunday", "6:00 PM", "7:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Friday", "6:00 PM", "7:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Wednesday", "6:00 PM", "7:00 PM" ,"S", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Tuesday", "6:00 PM", "7:00 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Thursday", "7:00 PM", "8:00 PM" ,"B", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Tuesday", "8:30 PM", "9:30 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Monday", "8:30 PM", "9:30 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Saturday", "8:30 PM", "9:30 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Sunday", "8:30 PM", "9:30 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Thursday", "8:30 PM", "9:30 PM" ,"OD", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Friday", "8:30 PM", "10:30 PM" ,"S", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Wednesday", "8:30 PM", "9:30 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Tuesday", "10:15 PM", "11:15 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Monday", "10:15 PM", "11:15 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Thursday", "10:15 PM", "11:15 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Wednesday", "10:15 PM", "11:15 PM" ,"BB", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Sunday", "10:30 PM", "11:30 PM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Saturday", "11:00 PM", "12:00 AM" ,"C", "null",2, "null"
"50 PERRY ST New York NY ", 40.7354854, -74.0031569 , "PERRY STREET WORKSHOP", false,"Friday", "11:00 PM", "12:00 AM" ,"C", "null",2, "null"
"232 W 11TH ST New York NY ", 40.736193, -74.0028632 , "PRIMETIME NYC (I)", false,"Thursday", "6:30 PM", "7:45 PM" ,"OD", "null",2, "Seventh Day Adventist Church"
"232 W 11TH ST New York NY ", 40.736193, -74.0028632 , "PRIMETIME NYC (I)", false,"Tuesday", "6:30 PM", "7:45 PM" ,"S", "null",2, "Seventh Day Adventist Church"
